Source	Label	node-type
Оксана Иванина	Оксана Иванина	author
Ольга Волжина	Ольга Волжина	author
Т.Н. Штейн	Т.Н. Штейн	author
Т.Ю. Климешова	Т.Ю. Климешова	author
Татьяна Федяева	Татьяна Федяева	author
Эмили Мерц	Эмили Мерц	author
Александра Леонтьева	Александра Леонтьева	author
Алина Ильина	Алина Ильина	author
Валентина Полетаева	Валентина Полетаева	author
Ирина Герциг	Ирина Герциг	author
Карин Сарсенов	Карин Сарсенов	author
Лидия Блохина	Лидия Блохина	author
Максим Костенко	Максим Костенко	author
Надежда Ажгихина	Надежда Ажгихина	author
Надежда Шведова	Надежда Шведова	author
Ольга Новосад	Ольга Новосад	author
Светлана Пономарева	Светлана Пономарева	author
Татьяна Федяева	Татьяна Федяева	author
Елена Кочкина	Елена Кочкина	author
Любовь Горяева	Любовь Горяева	author
Любовь Штылева	Любовь Штылева	author
Мария Петроченкова	Мария Петроченкова	author
Михаил Кириченко	Михаил Кириченко	author
Наталья Степанова	Наталья Степанова	author
Тамара Овнатанян	Тамара Овнатанян	author
Татьяна Попова	Татьяна Попова	author
Татьяна Степанова	Татьяна Степанова	author
Татьяна Федяева	Татьяна Федяева	author
Холема Хушкадамова	Холема Хушкадамова	author
Александра Смит	Александра Смит	author
Галина Петриашвили	Галина Петриашвили	author
Ия Мерквиладзе	Ия Мерквиладзе	author
Колетт Шульман	Колетт Шульман	author
Лидеры Армении	Лидеры Армении	author
Любовь Штылева	Любовь Штылева	author
Надежда Ажгихина	Надежда Ажгихина	author
Наталья В. Иванова	Наталья В. Иванова	author
Ольга Липовская	Ольга Липовская	author
Светлана Айвазова	Светлана Айвазова	author
Светлана Ризаева	Светлана Ризаева	author
Тамара Овнатанян	Тамара Овнатанян	author
Татьяна Попова	Татьяна Попова	author
Халима Хушкадамова	Халима Хушкадамова	author
